Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.197422	3.645917	8.090000	13.010000	
0.009999	3.619733	3.217966	15.028000	21.950000	
0.009996	3.363213	2.982197	19.574000	25.970000	
0.009990	3.143920	2.661957	23.276000	31.830000	
0.009982	2.950372	2.492317	26.768000	35.130000	
0.009973	2.788563	2.368999	30.312000	38.020000	
0.009961	2.639111	2.310272	33.264000	39.790000	
0.009946	2.524370	2.037785	35.684000	45.320000	
0.009930	2.421154	2.030843	37.896000	45.450000	
0.009911	2.337972	1.831399	39.828000	50.480000	
0.009891	2.260781	1.806773	41.536000	50.990000	
0.009868	2.207033	1.707148	42.744000	53.370000	
0.009843	2.143417	1.658122	44.036000	54.550000	
0.009816	2.093124	1.729207	45.378000	52.820000	
0.009787	2.029299	1.609144	46.672000	55.330000	
0.009755	1.995265	1.621748	47.366000	55.770000	
0.009722	1.953488	1.529124	48.496000	57.730000	
0.009686	1.916768	1.507473	49.264000	58.240000	
0.009649	1.891612	1.635806	49.994000	56.120000	
0.009609	1.861482	1.565143	50.306000	57.150000	
0.009568	1.826266	1.444348	51.414000	60.130000	
0.009524	1.797467	1.432180	52.226000	60.300000	
0.009479	1.780808	1.455330	52.758000	59.550000	
0.009431	1.746102	1.386006	53.422000	61.070000	
0.009382	1.718868	1.365542	53.904000	62.020000	
0.009330	1.698784	1.395835	54.290000	61.440000	
0.009277	1.678034	1.347094	55.132000	62.820000	
0.009222	1.662767	1.353927	55.196000	62.110000	
0.009165	1.635948	1.319090	55.902000	63.290000	
0.009106	1.619370	1.326096	56.336000	63.040000	
0.009045	1.591833	1.314035	56.930000	63.360000	
0.008983	1.585616	1.336592	57.308000	63.140000	
0.008918	1.569365	1.334512	57.764000	63.450000	
0.008853	1.541620	1.279864	58.324000	64.280000	
0.008785	1.532901	1.249151	58.506000	65.190000	
0.008716	1.509051	1.241373	59.092000	65.500000	
0.008645	1.500311	1.293484	59.456000	64.160000	
0.008572	1.476102	1.232797	59.912000	65.750000	
0.008498	1.458941	1.239093	60.336000	65.800000	
0.008423	1.450889	1.246478	60.568000	65.440000	
0.008346	1.437922	1.201023	60.934000	66.050000	
0.008267	1.424886	1.252291	61.298000	64.950000	
0.008187	1.413813	1.216860	61.582000	65.770000	
0.008106	1.392128	1.218717	62.088000	66.280000	
0.008023	1.384455	1.235984	62.414000	66.090000	
0.007939	1.365523	1.167904	62.794000	67.380000	
0.007854	1.353477	1.215456	62.980000	66.100000	
0.007767	1.340446	1.195535	63.478000	66.770000	
0.007679	1.339683	1.157282	63.300000	67.290000	
0.007590	1.317911	1.186841	64.110000	66.880000	
0.007500	1.314821	1.164808	63.984000	67.420000	
0.007409	1.294901	1.177807	64.708000	67.440000	
0.007316	1.288287	1.167417	65.018000	67.250000	
0.007223	1.263897	1.186789	65.568000	67.450000	
0.007129	1.260201	1.164072	65.498000	68.320000	
0.007034	1.252195	1.164651	65.676000	67.470000	
0.006938	1.251425	1.169065	65.768000	68.250000	
0.006841	1.230122	1.196920	66.378000	67.370000	
0.006743	1.226703	1.157576	66.416000	68.010000	
0.006644	1.218408	1.179419	66.706000	67.000000	
0.006545	1.210575	1.155039	66.984000	68.340000	
0.006445	1.189674	1.135980	67.352000	68.220000	
0.006345	1.179352	1.148602	67.680000	68.330000	
0.006243	1.166419	1.164242	67.846000	68.610000	
0.006142	1.173697	1.142043	67.846000	68.800000	
0.006040	1.145373	1.140492	68.338000	68.670000	
0.005937	1.134110	1.132248	68.800000	68.290000	
0.005834	1.130872	1.119896	68.986000	68.860000	
0.005730	1.134509	1.119158	68.900000	69.290000	
0.005627	1.128045	1.129293	69.258000	69.330000	
0.005523	1.111440	1.160649	69.498000	68.590000	
0.005418	1.109380	1.099189	69.368000	69.660000	
0.005314	1.084649	1.126533	69.968000	69.170000	
0.005209	1.082260	1.115801	70.316000	69.220000	
0.005105	1.070082	1.118497	70.590000	69.410000	
0.005000	1.078793	1.101846	70.446000	70.050000	
0.004895	1.055949	1.094502	70.808000	70.260000	
0.004791	1.049564	1.129696	71.230000	69.710000	
0.004686	1.035760	1.110349	71.592000	69.700000	
0.004582	1.033435	1.089692	71.514000	69.920000	
0.004477	1.024792	1.084661	71.840000	69.870000	
0.004373	1.005612	1.111813	72.422000	69.560000	
0.004270	0.993198	1.121100	72.688000	69.880000	
0.004166	0.986301	1.089570	72.854000	70.570000	
0.004063	0.989543	1.092360	72.802000	70.570000	
0.003960	0.979902	1.102100	73.094000	70.000000	
0.003858	0.979044	1.102821	73.260000	69.920000	
0.003757	0.960028	1.090541	73.468000	70.070000	
0.003655	0.959332	1.086570	73.634000	70.420000	
0.003555	0.938863	1.079638	74.034000	70.990000	
0.003455	0.933608	1.083547	74.320000	70.470000	
0.003356	0.929333	1.065912	74.546000	70.890000	
0.003257	0.936992	1.110307	74.380000	69.830000	
0.003159	0.925507	1.091253	74.694000	70.240000	
0.003062	0.916244	1.087075	74.972000	71.010000	
0.002966	0.911343	1.106822	75.082000	70.540000	
0.002871	0.901228	1.089126	75.206000	71.290000	
0.002777	0.895758	1.107898	75.588000	70.190000	
0.002684	0.880018	1.073394	76.070000	70.680000	
0.002591	0.859762	1.074718	76.390000	71.330000	
0.002500	0.868003	1.075449	76.284000	71.240000	
0.002410	0.855870	1.070918	76.696000	71.030000	
0.002321	0.859482	1.054500	76.548000	71.660000	
0.002233	0.840490	1.057619	77.410000	71.980000	
0.002146	0.845655	1.060286	77.126000	71.650000	
0.002061	0.834555	1.059807	77.192000	71.940000	
0.001977	0.833516	1.069879	77.450000	71.560000	
0.001894	0.820285	1.066398	77.646000	71.780000	
0.001813	0.812692	1.041491	78.006000	72.060000	
0.001733	0.812784	1.057629	78.130000	71.520000	
0.001654	0.799868	1.073475	78.230000	71.850000	
0.001577	0.810847	1.056826	77.950000	72.090000	
0.001502	0.782124	1.068271	78.660000	71.770000	
0.001428	0.790748	1.065080	78.820000	71.580000	
0.001355	0.783938	1.055940	78.998000	71.860000	
0.001284	0.768109	1.057661	79.242000	71.890000	
0.001215	0.767190	1.057842	79.470000	72.110000	
0.001147	0.756459	1.069127	79.534000	72.070000	
0.001082	0.750612	1.052662	79.780000	72.210000	
0.001017	0.755816	1.069575	79.590000	71.910000	
0.000955	0.758994	1.058136	79.664000	71.860000	
0.000894	0.738448	1.039525	79.996000	72.650000	
0.000835	0.734297	1.054330	80.196000	72.280000	
0.000778	0.737035	1.059924	80.114000	72.570000	
0.000723	0.726682	1.048507	80.302000	72.470000	
0.000670	0.718107	1.050447	80.818000	72.500000	
0.000618	0.721644	1.044368	80.588000	72.620000	
0.000569	0.708826	1.047504	81.036000	72.480000	
0.000521	0.716874	1.047873	81.008000	72.480000	
0.000476	0.714902	1.045643	80.774000	72.450000	
0.000432	0.711374	1.041126	81.064000	72.990000	
0.000391	0.700060	1.034942	81.304000	72.660000	
0.000351	0.698209	1.038708	81.402000	72.890000	
0.000314	0.701013	1.055187	81.272000	72.490000	
0.000278	0.687362	1.022597	81.552000	73.260000	
0.000245	0.689286	1.034727	81.426000	72.670000	
0.000213	0.694557	1.047260	81.346000	72.900000	
0.000184	0.687811	1.022675	81.696000	73.300000	
0.000157	0.681152	1.029347	81.704000	72.890000	
0.000132	0.673972	1.034423	82.044000	73.030000	
0.000109	0.686245	1.022239	81.584000	72.820000	
0.000089	0.677456	1.046939	81.986000	72.800000	
0.000070	0.672137	1.035302	82.092000	72.830000	
0.000054	0.673909	1.026722	82.006000	73.190000	
0.000039	0.658558	1.027056	82.558000	72.980000	
0.000027	0.668997	1.023437	81.996000	72.720000	
0.000018	0.673164	1.024352	82.178000	73.240000	
0.000010	0.667506	1.021474	82.428000	73.320000	
0.000004	0.663768	1.026641	82.176000	72.930000	
0.000001	0.664738	1.029440	82.358000	73.120000	
