Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	4.644482	3.621461	7.608000	15.820000	
0.001000	3.627201	3.185585	15.366000	22.810000	
0.001000	3.360186	2.906167	19.804000	27.530000	
0.001000	3.150384	2.667050	23.310000	32.240000	
0.001000	2.990900	2.486874	26.502000	36.540000	
0.001000	2.828418	2.337488	29.572000	38.440000	
0.000999	2.720135	2.163883	32.006000	42.660000	
0.000999	2.586444	2.071964	34.636000	45.250000	
0.000999	2.487940	1.948143	36.744000	48.080000	
0.000999	2.389827	1.841797	38.756000	50.380000	
0.000998	2.300765	1.753982	40.794000	51.850000	
0.000998	2.226651	1.677774	42.344000	53.550000	
0.000998	2.148427	1.597642	44.052000	56.000000	
0.000997	2.083239	1.558081	45.442000	56.440000	
0.000997	2.022395	1.497172	46.842000	58.320000	
0.000997	1.958549	1.500032	48.114000	58.330000	
0.000996	1.912899	1.409611	49.230000	60.130000	
0.000996	1.859643	1.394458	50.608000	60.890000	
0.000995	1.814706	1.340296	51.756000	62.200000	
0.000994	1.774667	1.301829	52.652000	62.890000	
0.000994	1.746203	1.281167	53.278000	63.170000	
0.000993	1.696698	1.253211	54.442000	64.430000	
0.000993	1.677251	1.228296	54.966000	64.890000	
0.000992	1.640305	1.201846	56.050000	65.750000	
0.000991	1.601034	1.196131	57.112000	65.340000	
0.000990	1.577660	1.161218	57.574000	66.610000	
0.000990	1.548794	1.152338	58.274000	66.840000	
0.000989	1.518122	1.145394	59.132000	66.810000	
0.000988	1.501605	1.099666	59.230000	68.540000	
0.000987	1.458706	1.099639	60.428000	68.320000	
0.000986	1.460775	1.084522	60.330000	68.780000	
0.000985	1.431523	1.077873	61.338000	68.990000	
0.000984	1.400819	1.054223	62.148000	69.400000	
0.000983	1.383289	1.063508	62.098000	69.380000	
0.000982	1.366804	1.036287	62.672000	70.220000	
0.000981	1.354502	1.035903	63.098000	70.670000	
0.000980	1.322679	1.032877	63.932000	70.190000	
0.000979	1.318695	1.021552	64.190000	71.040000	
0.000978	1.293612	1.031016	64.748000	70.700000	
0.000977	1.282686	1.006621	65.124000	71.440000	
0.000976	1.265723	1.019824	65.242000	71.180000	
0.000974	1.250274	1.002510	65.662000	71.540000	
0.000973	1.236962	1.004203	66.192000	71.180000	
0.000972	1.227744	0.983947	66.372000	72.030000	
0.000970	1.201789	0.983075	66.978000	72.400000	
0.000969	1.198809	0.974195	67.246000	72.190000	
0.000968	1.178674	0.967668	67.648000	72.820000	
0.000966	1.165435	0.968869	67.878000	72.430000	
0.000965	1.157779	0.969579	68.012000	72.730000	
0.000963	1.137451	0.963076	68.614000	72.900000	
0.000962	1.125648	0.960068	68.870000	72.940000	
0.000960	1.132763	0.959819	68.946000	72.970000	
0.000959	1.110868	0.959082	69.294000	72.850000	
0.000957	1.098551	0.949922	69.850000	73.510000	
0.000956	1.091655	0.932569	69.988000	73.430000	
0.000954	1.075108	0.943424	70.570000	73.640000	
0.000952	1.075938	0.954188	70.544000	73.090000	
0.000951	1.063293	0.947336	70.912000	73.080000	
0.000949	1.066849	0.940455	70.922000	73.440000	
0.000947	1.035255	0.936311	71.498000	73.490000	
0.000946	1.030780	0.939098	71.656000	73.560000	
0.000944	1.024649	0.965425	71.782000	72.840000	
0.000942	0.990672	0.924803	72.610000	74.070000	
0.000940	0.997125	0.930381	72.638000	73.580000	
0.000938	0.996495	0.929645	72.470000	73.690000	
0.000936	0.983929	0.928768	72.878000	74.090000	
