Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	4.327363	4.421531	5.710000	7.900000	
0.049995	3.884007	3.603307	10.816000	15.310000	
0.049978	3.630733	3.338843	14.832000	19.850000	
0.049951	3.453046	3.228804	17.970000	21.400000	
0.049912	3.304205	2.980334	20.830000	25.920000	
0.049863	3.175977	3.332825	23.150000	21.700000	
0.049803	3.081540	3.661725	24.892000	20.230000	
0.049732	2.976235	2.646495	26.790000	32.670000	
0.049650	2.895373	2.580278	28.942000	35.880000	
0.049557	2.810310	2.452134	30.380000	36.680000	
0.049454	2.746289	3.152370	31.624000	27.070000	
0.049339	2.674632	2.285211	33.090000	41.350000	
0.049215	2.620029	2.805962	34.510000	33.390000	
0.049079	2.568225	2.761876	35.498000	34.220000	
0.048933	2.512625	2.131650	36.572000	44.410000	
0.048776	2.462495	2.874906	37.920000	33.430000	
0.048609	2.419104	2.367464	39.052000	40.570000	
0.048432	2.382168	2.594850	39.590000	36.810000	
0.048244	2.348286	1.966248	40.352000	48.370000	
0.048047	2.294826	1.906379	41.136000	49.410000	
0.047839	2.267980	1.956966	41.730000	48.360000	
0.047621	2.242337	2.249088	42.910000	43.360000	
0.047393	2.211702	1.874051	43.112000	50.440000	
0.047155	2.176580	1.883519	44.416000	50.810000	
0.046908	2.157391	2.877338	44.552000	34.940000	
0.046651	2.113974	2.920071	45.672000	36.930000	
0.046384	2.088070	2.772176	46.218000	38.260000	
0.046108	2.066935	1.800061	46.688000	52.700000	
0.045823	2.054242	1.734130	46.842000	54.080000	
0.045529	2.018871	2.771910	47.746000	37.630000	
0.045225	1.995286	1.773280	48.378000	53.030000	
0.044913	1.978605	1.788388	48.516000	52.290000	
0.044592	1.960593	2.431896	49.460000	42.970000	
0.044263	1.935430	2.430868	49.748000	43.580000	
0.043925	1.915716	1.750312	49.938000	53.250000	
0.043579	1.901636	2.739810	50.388000	40.640000	
0.043224	1.881962	1.800188	50.704000	52.380000	
0.042862	1.864041	1.986699	51.154000	49.870000	
0.042492	1.840332	1.640334	52.000000	55.940000	
0.042114	1.830870	1.672477	52.066000	55.090000	
0.041728	1.815740	2.444083	52.352000	43.080000	
0.041336	1.787186	2.037319	53.172000	49.180000	
0.040936	1.775161	1.607496	53.136000	56.730000	
0.040529	1.770565	1.656107	53.404000	55.620000	
0.040115	1.752628	2.274072	54.014000	45.250000	
0.039695	1.731188	2.209237	54.464000	47.800000	
0.039268	1.734365	1.602826	54.406000	57.140000	
0.038835	1.714285	1.545557	54.982000	58.150000	
0.038396	1.714155	1.581216	54.852000	57.530000	
0.037951	1.686126	1.530920	55.734000	58.910000	
0.037500	1.680253	1.773965	55.524000	53.980000	
0.037044	1.656728	1.930072	56.228000	51.820000	
0.036582	1.646285	1.541377	56.522000	58.560000	
0.036116	1.629191	1.688291	57.014000	55.430000	
0.035644	1.624422	2.119742	56.798000	49.110000	
