Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.534754	4.037243	4.478000	8.870000	
0.009999	4.073479	3.839819	8.316000	11.440000	
0.009996	3.884786	3.661899	10.884000	14.010000	
0.009990	3.724439	3.468821	13.462000	17.600000	
0.009982	3.611487	3.346388	15.258000	19.120000	
0.009973	3.492405	3.282226	17.080000	20.880000	
0.009961	3.395836	3.134482	19.426000	23.460000	
0.009946	3.319625	2.961576	20.362000	26.470000	
0.009930	3.234256	2.920172	21.784000	27.480000	
0.009911	3.166744	2.904510	23.062000	27.750000	
0.009891	3.098140	2.780144	24.508000	30.640000	
0.009868	3.036574	2.704485	25.876000	31.390000	
0.009843	2.973651	2.703052	26.932000	32.140000	
0.009816	2.924324	2.583575	27.940000	34.320000	
0.009787	2.869326	2.595528	28.944000	34.450000	
0.009755	2.835722	2.456488	29.670000	37.540000	
0.009722	2.799438	2.419164	30.434000	37.770000	
0.009686	2.739694	2.350962	31.660000	39.200000	
0.009649	2.698608	2.435693	32.608000	38.080000	
0.009609	2.671129	2.296908	32.916000	40.660000	
0.009568	2.629042	2.394671	33.788000	38.250000	
0.009524	2.593109	2.299251	34.558000	40.970000	
0.009479	2.555469	2.277822	35.438000	41.260000	
0.009431	2.534341	2.188588	35.968000	42.590000	
0.009382	2.505614	2.127468	36.660000	44.280000	
0.009330	2.470254	2.129973	37.156000	44.330000	
0.009277	2.455596	2.145620	37.542000	43.730000	
0.009222	2.426153	2.074524	38.244000	45.940000	
0.009165	2.393713	2.094163	38.684000	44.980000	
0.009106	2.375638	2.032693	39.276000	46.530000	
0.009045	2.345506	2.014085	39.606000	46.850000	
0.008983	2.314580	1.986703	40.374000	46.940000	
0.008918	2.299800	1.991358	40.788000	46.940000	
0.008853	2.284658	2.056888	41.230000	45.990000	
0.008785	2.263084	1.950362	41.844000	48.670000	
0.008716	2.240450	2.012922	42.082000	47.120000	
0.008645	2.223314	1.972728	42.468000	48.230000	
0.008572	2.203064	2.007028	42.908000	46.960000	
0.008498	2.203117	1.941577	43.050000	48.580000	
