Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.008423	2.176562	1.858080	43.334000	49.880000	
0.008346	2.150001	1.838908	44.284000	51.090000	
0.008267	2.151561	1.907395	43.968000	49.470000	
0.008187	2.130599	1.840351	44.664000	51.060000	
0.008106	2.106435	1.758447	45.058000	52.570000	
0.008023	2.094050	1.749758	45.412000	52.320000	
0.007939	2.077671	1.795436	45.862000	51.480000	
0.007854	2.067494	1.771725	46.106000	52.630000	
0.007767	2.056905	1.821965	46.302000	51.200000	
0.007679	2.038439	1.816833	46.842000	51.670000	
0.007590	2.025642	1.732812	47.108000	52.970000	
0.007500	2.015548	1.746655	47.216000	53.330000	
0.007409	2.000590	1.745518	47.592000	53.190000	
0.007316	1.995196	1.809795	47.640000	51.550000	
0.007223	1.973833	1.739466	48.248000	53.540000	
0.007129	1.964314	1.687847	48.532000	54.320000	
0.007034	1.957999	1.697361	48.668000	53.910000	
0.006938	1.943144	1.690148	48.910000	54.360000	
0.006841	1.931655	1.762130	49.364000	53.090000	
0.006743	1.911148	1.678787	49.660000	54.510000	
0.006644	1.906792	1.690842	49.744000	54.120000	
0.006545	1.900972	1.677271	49.912000	54.850000	
0.006445	1.887767	1.615308	50.260000	56.320000	
0.006345	1.872723	1.643540	50.726000	55.260000	
0.006243	1.870941	1.657105	50.692000	54.700000	
0.006142	1.861866	1.620853	51.026000	55.990000	
0.006040	1.854090	1.639341	51.090000	55.620000	
0.005937	1.830155	1.629107	51.584000	55.740000	
0.005834	1.818156	1.621361	51.804000	56.100000	
0.005730	1.831688	1.606665	51.688000	56.420000	
0.005627	1.804434	1.648913	52.174000	55.250000	
0.005523	1.804152	1.620892	52.032000	55.990000	
0.005418	1.798216	1.582638	52.324000	56.780000	
0.005314	1.785860	1.608728	52.464000	56.640000	
0.005209	1.781341	1.561303	52.718000	56.930000	
0.005105	1.764246	1.567826	53.096000	57.540000	
0.005000	1.763662	1.601259	53.176000	56.610000	
0.004895	1.744920	1.574363	53.650000	56.980000	
0.004791	1.748556	1.553989	53.608000	57.800000	
0.004686	1.730032	1.556828	53.718000	57.660000	
0.004582	1.729004	1.526836	53.920000	58.210000	
0.004477	1.720972	1.492778	54.146000	58.660000	
0.004373	1.711078	1.607147	54.592000	56.860000	
0.004270	1.703723	1.520543	54.830000	58.390000	
0.004166	1.694224	1.526313	55.094000	58.570000	
0.004063	1.679363	1.536095	55.402000	58.650000	
0.003960	1.680110	1.550098	55.348000	58.220000	
0.003858	1.677983	1.497360	55.382000	59.100000	
0.003757	1.669127	1.493227	55.542000	58.690000	
0.003655	1.652359	1.568926	55.734000	57.580000	
0.003555	1.649870	1.471028	55.834000	59.370000	
0.003455	1.641562	1.474908	56.118000	59.900000	
0.003356	1.637525	1.475270	56.118000	59.860000	
0.003257	1.625542	1.482903	56.862000	59.870000	
0.003159	1.620033	1.480881	56.748000	59.790000	
0.003062	1.600816	1.436820	57.300000	60.400000	
0.002966	1.596787	1.477395	57.542000	59.660000	
0.002871	1.591128	1.463498	57.306000	59.940000	
0.002777	1.586362	1.480775	57.508000	59.420000	
0.002684	1.581703	1.434742	57.376000	60.770000	
0.002591	1.574159	1.443037	57.942000	60.680000	
0.002500	1.566258	1.434814	58.144000	60.770000	
0.002410	1.557593	1.435171	58.238000	61.180000	
0.002321	1.549650	1.452669	58.500000	60.570000	
0.002233	1.558496	1.493023	57.960000	59.180000	
0.002146	1.540261	1.456892	58.646000	60.310000	
0.002061	1.530652	1.415462	58.984000	61.230000	
0.001977	1.518939	1.465747	59.314000	60.170000	
0.001894	1.531941	1.414311	59.032000	61.620000	
0.001813	1.516087	1.403493	59.294000	61.860000	
0.001733	1.505873	1.440368	59.510000	61.160000	
0.001654	1.509325	1.419317	59.264000	61.230000	
0.001577	1.503015	1.402721	59.684000	61.590000	
0.001502	1.488396	1.419231	59.952000	61.300000	
0.001428	1.489503	1.390498	59.828000	62.090000	
0.001355	1.479695	1.394272	60.278000	61.930000	
0.001284	1.470781	1.402700	60.424000	61.900000	
0.001215	1.463406	1.379855	60.742000	62.460000	
0.001147	1.455893	1.418438	60.948000	60.890000	
0.001082	1.461200	1.354914	60.650000	63.020000	
0.001017	1.454053	1.397050	61.000000	61.710000	
0.000955	1.442038	1.380244	61.512000	62.000000	
0.000894	1.435696	1.393238	61.438000	61.970000	
0.000835	1.434038	1.360065	61.260000	62.660000	
0.000778	1.427702	1.364304	61.696000	62.630000	
0.000723	1.436755	1.370940	61.352000	62.670000	
0.000670	1.418408	1.363950	61.806000	62.990000	
0.000618	1.418294	1.379185	61.964000	62.400000	
0.000569	1.400802	1.376701	62.366000	62.330000	
0.000521	1.408657	1.390097	62.104000	62.150000	
0.000476	1.394319	1.356239	62.406000	62.410000	
0.000432	1.387109	1.338561	62.916000	63.110000	
0.000391	1.387153	1.353610	62.912000	63.560000	
0.000351	1.389001	1.341909	62.776000	62.690000	
0.000314	1.374542	1.333810	63.000000	63.540000	
0.000278	1.374157	1.321737	62.958000	63.690000	
0.000245	1.370675	1.338992	63.336000	63.560000	
0.000213	1.363740	1.352643	63.252000	63.600000	
0.000184	1.366936	1.347285	63.172000	62.910000	
0.000157	1.366554	1.347697	63.184000	62.910000	
0.000132	1.359168	1.336723	63.500000	63.320000	
0.000109	1.344569	1.324333	63.902000	63.920000	
0.000089	1.353970	1.311226	63.500000	63.930000	
0.000070	1.336833	1.332777	63.966000	63.730000	
0.000054	1.341967	1.325011	63.864000	63.640000	
0.000039	1.343617	1.325621	63.866000	63.650000	
0.000027	1.341522	1.380347	64.114000	62.520000	
0.000018	1.331128	1.317034	64.344000	64.250000	
0.000010	1.337666	1.323363	64.062000	63.250000	
0.000004	1.335815	1.324936	63.986000	63.610000	
0.000001	1.322195	1.316753	64.488000	63.670000	
